Date,Open,High,Low,Close,Volume
2024-01-02,185.22577720716953,186.5025222946912,181.99930092657837,183.73130798339844,82488700
2024-01-03,182.32590048043423,183.96883642924203,181.5440145919006,182.3555908203125,58414500
2024-01-04,180.277195595857,181.2075332827541,179.02026413555495,180.0396728515625,71983600
2024-01-05,180.11886909142459,180.8809414369887,178.31757423411605,179.3171844482422,62379700
2024-01-08,180.21780632812883,183.6917273170526,179.63387614033877,183.65213012695312,59144500
2024-01-09,182.0289774717032,183.24632668227045,180.8512103460259,183.23643493652344,42841800
2024-01-10,182.4545871112419,184.48349768333688,182.02900036017593,184.27566528320312,46792900
2024-01-11,184.6220377994394,185.12680377786887,181.73206228896322,183.6818084716797,49128400
2024-01-12,184.14698280822722,184.8199990991005,183.28593272766105,184.0084228515625,40477800
2024-01-16,180.28710192352952,182.3655014396163,179.06973745492456,181.7419891357422,65603000
2024-01-17,179.40626628613458,181.0491874231052,178.4462381888341,180.8017578125,47317400
2024-01-18,184.17665903424702,187.19530261085842,183.91933773499053,186.6905517578125,78005800
2024-01-19,187.38337121910467,189.97642838325277,186.8786203129096,189.59043884277344,68903000
2024-01-22,190.32283587135973,193.32168117146784,190.2832386815117,191.896484375,60133900
2024-01-23,193.01485907067706,193.7373491711095,191.83709192633378,193.17320251464844,42355600
2024-01-24,193.41075266703035,194.36088890095834,192.34185506707502,192.50021362304688,53631300
2024-01-25,193.21280647175473,194.2520137003454,191.124500268323,192.17359924316406,54822100
2024-01-26,192.2725896171282,192.75754194727924,189.9665440310004,190.4416046142578,44594000
2024-01-29,190.03580216218106,190.22385105233468,187.63079398239137,189.75868225097656,47145600
2024-01-30,188.97683613469175,189.82799457367844,185.54251203451676,186.1066436767578,55859400
2024-01-31,185.11689921687164,185.17629499887522,182.45456974695213,182.50404357910156,55467800
2024-02-01,182.0982647000541,185.02782223798647,181.93001441121828,184.93875122070312,64885400
2024-02-02,178.01075956316492,185.4039575322669,177.40703070953327,183.93917846679688,102551700
2024-02-05,186.21548923655902,187.30418539055444,183.9292424150712,185.7503204345703,69668800
2024-02-06,184.93876832266957,187.36357521832525,184.8496972971495,187.3536834716797,43490800
2024-02-07,188.67988890685803,189.08567701882757,186.6707620426896,187.46253967285156,53439000
2024-02-08,187.44274927884152,187.59120098390878,185.42373058041275,186.38375854492188,40962000
2024-02-09,186.9485964735415,188.2765227675386,186.30446474496694,187.1468048095703,45155200
