Date,Open,High,Low,Close,Volume
2024-01-01,3529.712285492124,3568.8278306083957,3513.879802945062,3549.36328125,825907
2024-01-02,3549.3629379884974,3549.3629379884974,3508.5243592421702,3523.37890625,1344068
2024-01-03,3508.291234189303,3512.8082384612394,3433.8320590180388,3438.209228515625,1803075
2024-01-04,3447.5228181063812,3463.58813008378,3400.258204607658,3414.97314453125,3598144
2024-01-05,3422.6100928660567,3490.3638028676905,3422.4704854443794,3481.190185546875,1963127
2024-01-08,3481.1905263659637,3482.913564061476,3420.1888983303925,3425.683837890625,1067805
2024-01-09,3455.1598780853456,3494.648088677372,3429.8279514524115,3436.48681640625,1370944
2024-01-10,3436.5800896371293,3473.1344984496654,3434.717444602096,3458.047119140625,1292227
2024-01-11,3468.244645562298,3513.879443530223,3452.4121646346503,3479.00146484375,1777909
2024-01-12,3583.7288487280734,3637.0470599000287,3559.142026578151,3616.138916015625,6813450
2024-01-15,3688.0370557408974,3692.6936681850148,3618.1878690791377,3635.69677734375,2801505
2024-01-16,3631.2262899610105,3631.2262899610105,3590.760374343459,3596.115478515625,1432672
2024-01-17,3556.7208235117105,3641.424564080022,3550.7138385303956,3617.815673828125,3458696
2024-01-18,3630.294683469867,3640.35301077668,3596.767077362911,3634.578857421875,2239110
2024-01-19,3699.66364622584,3717.0600825465317,3671.5762582519933,3697.8349609375,2941975
2024-01-23,3657.461948675322,3689.253641723034,3603.7722828902806,3618.308349609375,2618854
2024-01-24,3638.7059187101586,3642.1288365609107,3568.932886491174,3602.881591796875,2657709
2024-01-25,3601.0993927441014,3620.887291071968,3543.7054208683003,3573.34033203125,2205154
2024-01-29,3564.430891857951,3582.436811190723,3545.7216145125103,3564.618408203125,1646747
2024-01-30,3570.6670909234226,3608.5078419941947,3551.488909043992,3564.1962890625,1411621
2024-01-31,3574.184071078628,3595.566200692752,3560.351363342525,3578.638671875,2459358
2024-02-01,3582.436989907515,3662.057029330496,3568.4167652804376,3614.463134765625,2363107
2024-02-02,3634.063205902369,3736.612663128637,3631.2028376276817,3719.638427734375,2826510
2024-02-05,3735.300332044272,3771.8749524182936,3715.700178349996,3726.20361328125,1691523
2024-02-06,3748.429229618272,3891.8203887754125,3741.8645549604466,3878.784912109375,4474396
2024-02-07,3894.7280181656797,3896.603639652877,3820.594033092657,3829.456298828125,2124267
2024-02-08,3835.6456317898123,3899.4167572083225,3831.9413254430674,3877.003173828125,2345173
2024-02-09,3879.3008122308597,3924.5034728185747,3845.0240130368975,3876.62841796875,2100596
2024-02-12,3873.1584686878864,3900.9177589811775,3850.228812262782,3864.43701171875,1013716
2024-02-13,3868.8911494158424,3910.670430925413,3827.674187966924,3891.4453125,1257415
2024-02-14,3851.5882333641575,3858.9968457118357,3797.6641224758114,3845.117431640625,1391283
2024-02-15,3871.282423660838,3888.444175657724,3829.0809437517446,3848.02490234375,1091582
2024-02-16,3857.450096117476,3889.992312550588,3845.1179762463685,3871.56396484375,1307556
2024-02-19,3866.640503768057,3871.56401029997,3802.822664172948,3848.587646484375,772291
2024-02-20,3828.236868254403,3843.1479657037125,3760.620630178596,3779.986328125,1193648
2024-02-21,3763.434414830734,3810.6532761089843,3733.04943912238,3743.271484375,1885939
2024-02-22,3724.0458793930648,3840.287457059293,3724.0458793930648,3832.92578125,2982052
2024-02-23,3873.1583931027276,3873.1583931027276,3794.757322908657,3800.10302734375,2538072
2024-02-26,3785.0037308931537,3798.133079811019,3735.065314473416,3752.227294921875,1379284
2024-02-27,3750.305228133252,3867.531573098657,3750.305228133252,3849.150390625,2960475
2024-02-28,3840.8976823678586,3896.509674983892,3834.7080400231876,3862.795654296875,1939225
2024-02-29,3844.0863254782985,3880.754817970432,3811.778790417747,3840.428955078125,3772719
2024-03-01,3851.7760560015763,3882.536061925083,3832.644581510238,3839.72509765625,2043265
2024-03-04,3849.71267244036,3861.8103380983325,3822.4222912670302,3826.923828125,1749271
2024-03-05,3809.386993519725,3811.2626148853183,3732.4865175304053,3762.59033203125,2070859
2024-03-06,3745.662985779128,3818.7652862706927,3712.276832263034,3811.544189453125,1744204
2024-03-07,3812.2007150112554,3867.5315494972733,3786.598435635506,3853.08935546875,2688905
2024-03-11,3834.707809455719,3894.7276920199565,3834.707809455719,3865.98388671875,2304068
2024-03-12,3865.9837495151633,3966.8922650781215,3864.7643209446364,3931.53662109375,4039801
2024-03-13,3943.4942087066347,3977.25539574907,3874.9401512123873,3890.976806640625,2837260
2024-03-14,3895.1500154804917,3962.2501875616867,3831.8945009176455,3945.932373046875,2919608
2024-03-15,3931.865103264559,3975.3794267322946,3917.2351652419898,3956.857666015625,3373143
2024-03-18,3953.106408331295,3990.1499296240027,3861.76374108121,3894.2587890625,1526904
2024-03-19,3799.3056461900082,3805.6358684946754,3719.9200610190014,3729.95458984375,8931209
2024-03-20,3738.11367070717,3768.1236148774233,3713.9181074283624,3723.95263671875,1817913
2024-03-21,3741.9118998530926,3759.1205900676036,3702.476911275549,3725.875244140625,3829582
2024-03-22,3654.6483605203457,3693.098599879169,3615.260310445454,3667.683837890625,5852485
2024-03-26,3634.016313190079,3701.257291825828,3630.68703955033,3636.36083984375,3440925
2024-03-27,3646.6767441445086,3652.7725134223638,3591.2520426658625,3602.036865234375,1968575
2024-03-28,3610.6650016041267,3671.5288233376846,3601.661927465741,3635.235595703125,4311783
2024-04-01,3655.304582916496,3688.6907341711717,3646.254801582969,3673.169921875,1569676
2024-04-02,3648.0836677291272,3666.6993019354495,3632.140885633653,3642.269287109375,2142666
2024-04-03,3611.509094088183,3733.424488071944,3611.509094088183,3701.8203125,3973090
2024-04-04,3728.6417382256623,3778.111256202073,3690.5198221169708,3754.337890625,3394637
2024-04-05,3730.610939757806,3753.1183964079287,3714.199252617092,3731.783203125,1636819
2024-04-08,3735.299831392985,3781.8620387375217,3713.7301863711327,3725.499755859375,2302538
2024-04-09,3736.2379090370728,3766.1072720566044,3680.954012876369,3701.116943359375,1876992
2024-04-10,3710.3540167302876,3742.0520629416483,3674.342178842318,3736.84716796875,2101965
2024-04-12,3724.0463102085732,3763.76268515537,3700.1321372268762,3752.5556640625,4354821
2024-04-15,3752.5560174922475,3811.450581115032,3675.3274360228825,3696.099853515625,4200329
2024-04-16,3659.337150142385,3684.376648663715,3622.6219548397376,3631.953125,3051420
2024-04-18,3635.7048405060677,3691.2231923226304,3610.571466067614,3621.8251953125,3476284
2024-04-19,3599.3176775438415,3612.962869820078,3564.5248069516724,3588.25146484375,2957749
2024-04-22,3598.3795176848753,3636.829754907987,3574.9342510854167,3624.26318359375,1728883
2024-04-23,3635.9388098818245,3652.7724651814333,3620.5118705508353,3633.73486328125,1807586
2024-04-24,3648.0837008405756,3655.586186600659,3586.6101623523527,3592.7998046875,1317312
2024-04-25,3574.184280775608,3632.7505162587627,3573.9967644173494,3612.634521484375,2856271
2024-04-26,3615.400944510773,3635.7046841917695,3566.07223748283,3583.703125,2039178
2024-04-29,3599.3174341023114,3636.6423454168485,3581.6865473099597,3629.514892578125,1110693
2024-04-30,3631.2035529581935,3640.347208599036,3573.0592811907845,3583.046875,2203078
2024-05-02,3543.095825813969,3630.3591588386275,3543.095825813969,3623.044189453125,2491044
2024-05-03,3648.2244896065395,3651.4601199418653,3561.4302856696127,3604.3818359375,2962234
2024-05-06,3613.3850535418273,3694.9276577387245,3613.3850535418273,3677.203125,2053831
2024-05-07,3686.3462169354693,3739.988941315255,3670.12204659911,3731.501708984375,2062112
2024-05-08,3714.6679426556366,3736.518976345146,3693.6610759161904,3729.6259765625,1247685
2024-05-09,3715.6060738380834,3724.0463703208047,3666.886852709913,3713.91796875,1726486
2024-05-10,3716.1689930361385,3726.484911351382,3643.4417231221314,3651.7412109375,1672489
2024-05-13,3642.925600436705,3709.041253630369,3629.327345524533,3702.2890625,931326
2024-05-14,3691.2232635754413,3700.4138550943817,3650.8035270075748,3658.58740234375,1058317
2024-05-15,3661.682141626229,3682.735947564617,3634.485629369305,3639.080810546875,1115021
2024-05-16,3675.637702384871,3693.0187445265583,3630.67337116967,3684.942138671875,2599399
2024-05-17,3701.992923226846,3702.9375501529057,3617.9211268075583,3621.794189453125,2765804
2024-05-21,3618.4880769854944,3631.854456042576,3599.0759470919206,3608.663818359375,1908117
2024-05-22,3622.644183451547,3628.548101612322,3606.160490071024,3619.810302734375,1311168
2024-05-23,3628.264752304816,3688.7681531563644,3613.6703123942825,3677.857666015625,2095742
2024-05-24,3663.4993323947815,3668.742057896385,3631.429294761055,3636.34130859375,1309452
2024-05-27,3641.536837624862,3691.9327769001197,3628.642772199506,3634.027099609375,1841538
2024-05-28,3644.370544047232,3655.706066734782,3617.9209911096164,3627.272705078125,1801993
2024-05-29,3635.774643725855,3635.774643725855,3589.582477254128,3593.0302734375,1568095
2024-05-30,3567.8558516313005,3584.2922676744465,3509.714018991741,3529.220703125,2919230
2024-05-31,3532.9042615855815,3542.161650427461,3451.4301994032935,3467.677734375,10956800
2024-06-03,3526.1032967744277,3543.815050940118,3491.3409811408733,3497.811767578125,2156773
2024-06-04,3495.1194153242764,3537.627624429572,3392.6274000370645,3509.288818359375,3395997
2024-06-05,3510.2334721952598,3574.2792205302862,3495.1194421750433,3538.997314453125,2799670
2024-06-06,3571.634109972148,3627.2725390345563,3534.3213495003415,3618.298583984375,4328036
2024-06-07,3624.8165722996846,3698.2140306925203,3624.8165722996846,3678.32958984375,4552445
2024-06-10,3679.321494112552,3689.617834286387,3629.161717309955,3645.031494140625,1734661
2024-06-11,3632.0906637524354,3665.105329903273,3628.31215590978,3638.797607421875,1419898
2024-06-12,3659.862538168497,3677.9050050406395,3615.512349289223,3619.479736328125,2177001
2024-06-13,3643.236896058969,3674.598461482482,3638.7026410361236,3663.404541015625,1932323
2024-06-14,3673.6538756786167,3673.6538756786167,3616.031636949793,3619.857421875,1860730
2024-06-18,3614.1898098741085,3629.256562858962,3584.9063758687394,3603.84619140625,1774045
2024-06-19,3615.7007640544557,3621.5576348500226,3582.922259445668,3591.187744140625,1509050
2024-06-20,3585.8035709865335,3598.981069597492,3570.736818650082,3577.5380859375,2846526
2024-06-21,3615.08724810415,3663.0743420998706,3587.7403447033967,3599.737060546875,4642195
