Date,Open,High,Low,Close,Volume
2024-01-02,348.5844297575738,350.41009883655596,337.36249827821,343.5935974121094,19042200
2024-01-03,342.2938193292052,345.24069459406553,340.5078168862868,341.78778076171875,15451100
2024-01-04,341.8176411156675,345.4392152921055,340.72619992113476,344.417236328125,12099900
2024-01-05,344.28825355809283,350.7475750253757,343.5639568700308,349.20965576171875,13920700
2024-01-08,351.93818263654276,356.18485571303864,349.3087923232341,355.8673400878906,13890200
2024-01-09,353.62493279017207,357.8319391849978,352.5930221333329,354.64691162109375,13463900
2024-01-10,357.3655998102049,370.0361570840026,356.28406029694395,367.58538818359375,22117200
2024-01-11,369.2324630283158,369.8773958319146,360.10408551905675,366.7916259765625,17205400
2024-01-12,367.277794541933,374.1240624141553,366.6626269467996,371.5740661621094,19310000
2024-01-16,370.74058974438293,372.685319838908,364.3705956613117,364.5987854003906,15306900
2024-01-17,363.4478803135723,365.6704596782648,355.8177542418374,365.50177001953125,12724800
2024-01-18,368.59737831716046,373.91565834903196,368.06160483615173,373.2012634277344,16354300
2024-01-19,376.0489622272857,381.3672126996037,375.02698340921194,380.4643249511719,21670800
2024-01-22,384.92934534950246,387.31065234872364,378.1922053524054,378.807373046875,17680500
2024-01-23,381.6251827598736,385.3559155148058,379.10495178521484,382.20068359375,15506100
2024-01-24,386.96330579643376,393.0654134087709,384.7903555799496,387.6578674316406,15698500
2024-01-25,387.13201825545184,392.4105719303832,382.65712494527804,390.1185607910156,15091100
2024-01-26,391.2794623469608,393.70046609647795,388.5409429594839,391.07110595703125,13163700
2024-01-29,391.91447464954996,399.7926537489581,390.03920652616733,397.89752197265625,18742400
2024-01-30,400.4475204468842,403.19594147380514,396.45883230457235,396.94500732421875,18614700
2024-01-31,385.97109583241945,394.90101835810526,384.0858960218771,387.10223388671875,20180800
2024-02-01,390.8725989590323,397.3815172689311,389.98951438627904,391.7060546875,29727100
2024-02-02,456.0213826629202,482.176118971358,449.48269858581074,471.2915344238281,84707600
2024-02-05,466.221332864614,468.2255934429309,455.64433221754496,455.8328552246094,40832400
2024-02-06,460.387092444329,463.48279391079984,449.47274327000224,451.1793518066406,21655200
2024-02-07,454.4338116753669,467.84852814106995,452.62797572422755,465.9335632324219,23066000
2024-02-08,464.67351189027835,466.9258260140374,461.4091204468022,466.3404235839844,18815100
2024-02-09,469.26742830028314,469.90242925067935,463.8300869402288,464.465087890625,18413100
2024-02-12,464.5444687360727,475.41912086726245,462.94698916007474,465.2489318847656,19382000
2024-02-13,453.3126287541774,464.2468421541009,451.54648973334866,456.5373229980469,20916600
2024-02-14,464.28646967546143,470.41834202168815,462.46080041444674,469.5948181152344,16858400
2024-02-15,471.5793300047414,484.81545723804714,468.5431584801579,480.2611999511719,24212300
2024-02-16,474.3872642070569,475.23065188428683,465.556568581848,469.63458251953125,23324600
2024-02-20,466.062559372818,472.4722505574725,462.9271608576115,468.0767517089844,18015500
2024-02-21,463.3588130192424,465.8419792197742,458.68053638482485,464.8785095214844,12921800
2024-02-22,477.0062442785985,486.69059163885595,472.8543980185372,482.8565979003906,21625800
2024-02-23,484.76364134369345,491.0311497339842,479.1020412033738,480.7707214355469,18374300
2024-02-26,480.2144859744723,482.86652048024735,477.3638163849019,478.4961242675781,12101400
2024-02-27,476.74801536407614,483.9889055616532,476.68842180532044,483.7703857421875,10809600
2024-02-28,481.73418465032995,487.7434340041243,479.4993353400965,480.7607727050781,12715500
2024-02-29,485.1510282882917,488.3890863550295,479.36026837522473,486.82965087890625,17732000
2024-03-01,488.7962772842843,500.8545450353312,488.5380486516633,498.91766357421875,16273600
2024-03-04,499.6129971227631,501.02344874221626,493.07731757525386,494.83538818359375,12324100
2024-03-05,491.66681804477713,492.24289916092766,484.6047092081151,486.91900634765625,15325300
2024-03-06,494.2791810340301,499.58322016092893,490.96167477767403,492.7495422363281,11757900
2024-03-07,499.8911721046465,516.3495752752657,498.0039717823429,508.7411804199219,18586400
2024-03-08,510.72765736734266,520.0445011354961,495.9875874923853,502.54315185546875,18597100
2024-03-11,493.66329582884157,493.9712059583507,472.79476106595894,480.3336486816406,20428300
2024-03-12,489.9385984033987,498.9276472763487,481.46603715056744,496.3848876953125,15448200
2024-03-13,492.05425155124124,497.6066070345607,487.72359432803495,492.2330322265625,12090700
2024-03-14,496.8914470652399,497.9741037778643,484.8729178506202,488.5181884765625,12620000
2024-03-15,485.7171818374757,488.51816987456107,478.0590765437651,480.8402404785156,29153600
2024-03-18,488.5976770138942,494.070584561547,483.5320123264852,493.633544921875,11755300
2024-03-19,484.88286188860536,493.28588697301825,478.039241983051,492.89849853515625,10903100
2024-03-20,496.13654476437773,504.7779741854075,491.835714780714,502.1159973144531,11711100
2024-03-21,511.24418672335725,511.5719209963109,502.6027566454652,504.3409729003906,9712500
2024-03-22,503.5860676514322,506.5360700886192,500.9439753750218,506.148681640625,8120600
2024-03-25,502.38421028695126,503.80457393392254,496.871563696633,499.6328430175781,8380600
2024-03-26,501.7286443250279,506.56584667768334,491.87542863664703,492.5508728027344,11205400
2024-03-27,495.9379177172375,496.5239715871602,484.78355507786483,490.5345458984375,9989700
2024-03-28,489.521395786928,489.5710772928442,481.8831749511718,482.3102722167969,15212800
2024-04-01,483.919393448101,494.0804891364972,478.5358763202007,488.04144287109375,9247000
2024-04-02,481.8335069600827,494.1798002750776,481.3865249828398,494.0208740234375,11081000
2024-04-03,495.5704114495978,503.8244530380208,495.3916307675297,503.32781982421875,12099200
2024-04-04,512.9426409502,526.4312162585362,507.1419685443488,507.4797058105469,26476300
2024-04-05,513.3795907460255,527.1264226237954,510.94607625503056,523.7890625,19263300
2024-04-08,525.7160926076674,527.9111726495528,515.3960397041614,515.7536010742188,13260600
2024-04-09,518.7134382659121,522.3289421324931,503.32775304353936,513.4193725585938,10863800
2024-04-10,505.8606751200009,519.0413099030587,502.3941546225541,516.3297119140625,11418500
2024-04-11,517.6010838952341,520.3325667313413,513.8067986443587,519.6372680664062,10369500
2024-04-12,514.2636784657437,516.6872509060779,505.9003620426098,508.45306396484375,11984500
2024-04-15,513.2405867962719,515.0384571853876,493.93151580388917,496.8616638183594,13512900
2024-04-16,494.755861747271,501.3710189374271,493.7625954480659,496.394775390625,9847900
2024-04-17,499.712298834283,499.7718923893726,483.85977662669706,490.8424377441406,12193700
2024-04-18,496.4544030177161,508.76098785932845,495.67965646364473,498.4210510253906,14808700
2024-04-19,499.41434858815046,499.41434858815046,472.5266493809035,477.8306884765625,25215400
2024-04-22,486.4223944308952,488.69698284246,470.2122804474179,478.4862060546875,17271100
2024-04-23,487.94211241184524,495.4015526749956,485.6774662629057,492.75946044921875,15079200
2024-04-24,504.6389278841395,506.56586713703933,481.317021755362,490.1769714355469,37772700
2024-04-25,418.56245488313147,442.76835220036213,411.7089227857851,438.4079284667969,82890700
2024-04-26,438.4874200784971,443.43389815493634,429.0513883397759,440.30511474609375,32691400
2024-04-29,436.60014947867506,436.7988148712777,425.6742197513567,429.7068786621094,21502600
2024-04-30,428.1474865043682,436.65978716345234,426.826455477513,427.2734375,18429500
2024-05-01,425.71397863682915,446.93013406880516,424.23399111108887,436.232666015625,20344900
2024-05-02,435.88499880227045,440.9705176340693,429.3691740100177,438.70587158203125,15221300
2024-05-03,442.92726154360383,451.11179697891964,440.86128084790545,448.9166564941406,16489100
2024-05-06,452.51225464015755,463.02102923203086,450.2873477934908,462.54425048828125,15094600
2024-05-07,463.1501848954651,468.3548909827228,458.2037074526032,465.0870361328125,13406800
2024-05-08,460.37896403219986,472.3776084845462,459.8823308455416,469.4176940917969,11683900
2024-05-09,466.8352023225762,472.8742486238149,464.48116583313845,472.2187194824219,9437700
2024-05-10,473.87746056720033,474.2847034264408,466.437904971436,472.99346923828125,10750000
2024-05-13,469.56665421428306,470.16262007051995,459.73332367866385,464.85858154296875,14668800
2024-05-14,460.2498499695703,469.3581162552764,456.9819950045203,468.6727600097656,10478600
2024-05-15,471.78172074211807,479.25107371439304,468.0271746828079,478.29754638671875,13100500
2024-05-16,471.801527600696,474.4734165714435,469.5666782594295,470.04345703125,16608200
2024-05-17,467.65958568158874,469.6163216180006,465.2658404350713,468.7323303222656,10807300
2024-05-20,466.7855247891009,470.013640367692,463.8951161258971,465.6829833984375,11745100
2024-05-21,463.97456625143184,467.53047671083374,459.1572184570371,461.5013427734375,11742200
2024-05-22,464.71954780965524,470.5301623382244,462.51449517924743,464.6301574707031,10078600
2024-05-23,469.6958131205523,471.1658279710308,458.4321759489414,462.64361572265625,11747900
2024-05-24,464.4712177669983,476.61887645447604,463.16009887613995,474.9998474121094,12024300
2024-05-28,473.3708488306615,477.6220274622316,471.64257513598284,476.6883850097656,10175800
2024-05-29,471.46386116212193,476.6189165103456,470.51033384867264,471.1658630371094,9226200
2024-05-30,468.4939760428169,468.5535696018269,461.5808200768087,463.9050598144531,10719600
2024-05-31,462.66349074515693,465.9611425660609,451.3998530718608,463.6865539550781,16919800
2024-06-03,467.68938886665507,476.370557560807,465.08703582474993,474.2747497558594,11279400
2024-06-04,473.78804905282203,475.6653370045295,470.04344582485936,473.7781066894531,7088700
2024-06-05,481.18789892832643,493.30573030037567,480.65152660799043,491.7264404296875,15690500
2024-06-06,489.6604950970564,499.4342331212912,487.5845718978277,490.43524169921875,10667300
2024-06-07,492.57074247783544,495.5505416682554,486.8694030600324,489.6405944824219,9380700
2024-06-10,490.53452930197295,499.2752918011658,490.087577609636,499.2156982421875,11220900
2024-06-11,496.7920821312561,504.18198591577544,494.91479425221536,504.0528564453125,9673700
2024-06-12,510.5289816127229,510.5488663402382,501.0730965012288,505.4136657714844,11983200
2024-06-13,502.30471065857984,505.930126725215,497.9839960314029,500.70556640625,9954600
2024-06-14,499.76105901416054,504.2351956755983,497.8719851588786,501.26239013671875,10243300
2024-06-17,498.786716272725,507.8145165497157,493.15924290347647,503.71820068359375,11266600
2024-06-18,501.6600694232584,503.0917955375381,492.1748915017007,496.61920166015625,13060400
2024-06-20,499.1147919555252,500.7752071040244,493.9148400723255,498.8165283203125,11801200
2024-06-21,500.5564312705626,500.5564312705626,489.56000109168275,491.9362487792969,22359200
2024-06-24,496.33088323813683,504.88143086237153,491.4490995948573,496.04254150390625,13525300
2024-06-25,494.193234056006,507.77472797570107,492.65215468981233,507.6653747558594,12063200
2024-06-26,503.73805265327996,510.85690461260367,501.7793738995123,510.1708679199219,8882300
2024-06-27,511.2944343363989,519.874839712924,510.94647017647,516.5739135742188,10121200
2024-06-28,514.1777300033583,518.8805251412638,500.94420066099576,501.322021484375,15855100
2024-07-01,502.0478560452752,503.6684622749848,490.3355617817053,501.7793884277344,10328200
2024-07-02,497.8818980210312,507.5659077862411,496.5794296566328,506.5716552734375,7739500
2024-07-03,503.45968950388533,508.34147346230577,503.111695021788,507.029052734375,6005600
2024-07-05,508.65968477780285,537.7614502342552,508.65968477780285,536.8069458007812,21354100
2024-07-08,539.2329753391592,539.6903534680489,523.6232551138687,526.2778930664062,14917500
2024-07-09,530.6823659932838,534.3909090570122,525.1543235402414,526.9539184570312,8753200
2024-07-10,527.7392732226358,535.782802810221,525.3232468812585,531.6168823242188,10983300
2024-07-11,527.8387522591509,532.3824937070442,505.44816535369097,509.7532958984375,16458300
2024-07-12,494.89917130590845,505.16978705228513,491.3894609308073,496.0027770996094,19750500
2024-07-15,495.764185294849,503.76790669294775,490.5344068407608,493.3083801269531,12539200
2024-07-16,498.61769595186473,501.0536270420419,482.9979955675087,486.9750061035156,14075800
2024-07-17,476.41602998115064,476.41602998115064,456.4812472174527,459.3347473144531,28076600
2024-07-18,472.2699610515285,476.4855821522594,461.87008787870946,473.1150817871094,19267200
2024-07-19,473.3239282729729,483.9127132433941,472.97593376663946,474.04974365234375,15149400
2024-07-22,483.78336899644364,489.23188362973013,481.1187795736259,484.5986633300781,12023100
2024-07-23,487.02473217696627,492.37381648357956,484.9169213369292,485.88134765625,9455500
2024-07-24,469.5954226900346,473.5624806822974,457.93282927520823,458.6188659667969,17649700
2024-07-25,460.59744019284307,460.88575158232453,440.1058796187656,450.8040466308594,18240500
2024-07-26,461.5320586336811,467.0700224305545,456.7795325266989,463.0234375,14222400
2024-07-29,467.1794330696992,471.23597047064357,462.347349484825,463.03338623046875,11339600
2024-07-30,464.315962513696,470.0130408141906,454.07517290776104,460.5278625488281,11390400
2024-07-31,468.3128218694942,473.7613367281888,464.06737443417023,472.1009216308594,24285800
2024-08-01,518.0055973214868,524.1401187856688,489.27170365366396,494.8792724609375,43083100
2024-08-02,486.1894847459628,498.2696468567978,473.4133337307261,485.3344421386719,24044700
2024-08-05,448.7559059334732,480.7012460328518,448.2090488117456,472.99578857421875,21396200
2024-08-06,476.24697663872547,499.6715645445627,475.8989821739981,491.250244140625,20955000
